NRO;CODIGO;UND;DESCRIPCION;ESTADO;OBSERVACION;
51;U142412470111;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
52;U142412470112;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
53;U142412470113;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
54;U142412470115;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
55;U142412470117;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
56;U142412470120;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
57;U142412470121;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
58;U142412470122;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
59;U142412470124;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
60;U142412470126;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
61;U142412470127;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
62;U142412470128;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
63;U142412470129;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
64;U142412470131;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
65;U142412470133;PZA;SILLA SILLA METALICA DE TUBO DE 1.2 MM. ASIENTO Y RESPALDAR CON FORMICA.;REGULAR;;
66;U142421711115;PZA;ESTABILIZADOR ESTABILIZADOR ATOMLUX 1000 W.;REGULAR;;
67;U142467010246;UND;EQUIPO PARA REDES SWITCH MAIPU SM1100 - 24GET - AC 24 PUERTOS, SERIE: 8946-084372700050V00.;BUENO;Movido al 232-11;
68;U142467010248;UND;EQUIPO PARA REDES SWITCH MAIPU SM1100 - 24GET - AC 24 PUERTOS, SERIE: 8946-084372700133V00.;BUENO;;
69;U142467010692;UND;EQUIPO PARA REDES ROUTER INALAMBRICO CISCO 2500.;BUENO;;
70;U143612441986;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
71;U143612441987;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
72;U143612442003;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
73;U143612442015;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
74;U143612442029;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
75;U143612442046;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
76;U143612442047;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
77;U143612442053;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
78;U143612442056;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
79;U143612442066;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
80;U143612442074;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
81;U143612442077;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
82;U143612442082;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
83;U143612442085;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
84;U143612442086;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
85;U143612442087;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
86;U143612442092;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
87;U143612442093;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
88;U143612442095;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
89;U143612442096;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
90;U143612442099;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
91;U143612442100;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
92;U143612442112;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
93;U143612442122;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
94;U143612442123;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
95;U143612442124;PZA;SILLA SILLA ESTRUCTURA METALICA ASIENTO Y ESPALDAR DE TABLERO MULTILAMINADO, ALTURA TOTAL 82CM.;BUENO;;
